Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
5,0,1,6,no,no,full stack,system designing,poor,excellent,Management,developer,product development,yes,Comics,Technical,smart worker,yes,yes,Web Developer
6,2,6,1,yes,yes,information security,data science,excellent,poor,IOT,testing,SAaS services,yes,Fantasy,Management,hard worker,yes,yes,Web Developer
4,5,2,3,yes,yes,machine learning,system designing,excellent,medium,IOT,cloud computing,Web Services,yes,Horror,Management,hard worker,yes,yes,Web Developer
6,3,6,5,yes,no,information security,database security,medium,excellent,programming,testing,Sales and Marketing,no,Diaries,Management,smart worker,yes,no,Web Developer
3,3,2,4,yes,yes,information security,data science,excellent,medium,networks,testing,BPA,no,Encyclopedias,Technical,hard worker,no,no,Web Developer
5,1,3,9,no,yes,r programming,data science,medium,medium,data engineering,cloud computing,BPA,yes,Trilogy,Management,smart worker,no,no,Web Developer
3,0,7,7,no,yes,app development,cloud computing,medium,excellent,parallel computing,Business process analyst,Product based,yes,Trilogy,Management,hard worker,yes,yes,Web Developer
1,4,9,3,no,yes,information security,web technologies,excellent,excellent,programming,cloud computing,Cloud Services,yes,Anthology,Management,smart worker,no,yes,Web Developer
4,6,8,8,no,no,r programming,data science,medium,excellent,Software Engineering,cloud computing,Testing and Maintainance Services,no,Prayer books,Management,hard worker,no,yes,Web Developer
2,0,4,8,no,yes,full stack,testing,excellent,medium,cloud computing,security,Finance,no,Poetry,Technical,hard worker,yes,yes,Web Developer
3,2,7,4,no,no,full stack,hacking,medium,medium,cloud computing,system developer,Testing and Maintainance Services,yes,Anthology,Management,hard worker,no,no,Web Developer
8,1,2,8,no,yes,full stack,testing,excellent,medium,Computer Architecture,Business process analyst,Testing and Maintainance Services,no,Health,Management,hard worker,no,yes,Web Developer
6,0,6,9,yes,yes,python,game development,poor,medium,hacking,system developer,Testing and Maintainance Services,no,History,Technical,smart worker,yes,no,Web Developer
8,5,4,2,yes,yes,distro making,database security,medium,medium,IOT,cloud computing,BPA,yes,Health,Technical,hard worker,yes,yes,Web Developer
9,0,2,9,no,no,full stack,cloud computing,medium,poor,Management,system developer,Cloud Services,yes,Self help,Technical,smart worker,yes,yes,Web Developer
5,2,1,7,no,no,shell programming,hacking,excellent,poor,networks,testing,SAaS services,no,Series,Management,smart worker,no,yes,Web Developer
7,0,1,6,no,no,r programming,web technologies,medium,poor,Software Engineering,developer,Testing and Maintainance Services,no,Journals,Management,hard worker,no,no,Web Developer
5,1,3,1,no,yes,r programming,data science,poor,medium,cloud computing,developer,Cloud Services,yes,Romance,Technical,smart worker,yes,no,Web Developer
2,1,6,6,yes,yes,distro making,data science,medium,poor,hacking,developer,Web Services,no,Art,Technical,hard worker,yes,no,Web Developer
4,1,9,3,no,yes,full stack,system designing,poor,poor,programming,security,Product based,no,Satire,Technical,smart worker,no,yes,Web Developer
1,4,2,1,no,yes,app development,system designing,medium,poor,programming,system developer,BPA,yes,History,Management,hard worker,no,no,Web Developer
4,2,4,1,yes,no,app development,web technologies,excellent,medium,hacking,testing,Cloud Services,yes,Diaries,Technical,smart worker,yes,yes,Web Developer
8,4,3,8,yes,yes,r programming,game development,medium,excellent,hacking,system developer,Finance,yes,Horror,Management,smart worker,no,no,Web Developer
7,6,3,1,no,yes,r programming,system designing,poor,poor,programming,system developer,Cloud Services,no,Prayer books,Technical,hard worker,yes,yes,Web Developer
7,3,6,5,no,yes,full stack,game development,medium,poor,programming,system developer,BPA,yes,Romance,Management,smart worker,yes,yes,Web Developer
4,6,9,8,yes,yes,r programming,cloud computing,poor,medium,Software Engineering,system developer,Cloud Services,yes,Guide,Management,hard worker,yes,yes,Web Developer
1,0,3,8,yes,no,python,system designing,medium,poor,Management,Business process analyst,SAaS services,yes,Dictionaries,Management,smart worker,yes,yes,Web Developer
3,0,6,3,yes,no,hadoop,cloud computing,excellent,medium,parallel computing,testing,product development,no,Art,Technical,smart worker,no,no,Web Developer
8,1,3,8,yes,no,full stack,game development,poor,medium,networks,system developer,SAaS services,yes,Dictionaries,Management,smart worker,no,no,Web Developer
2,1,8,1,yes,no,distro making,game development,excellent,medium,data engineering,Business process analyst,Service Based,no,Science fiction,Management,smart worker,no,no,Web Developer
8,3,3,5,yes,no,shell programming,hacking,poor,medium,data engineering,cloud computing,Finance,yes,Journals,Management,hard worker,yes,no,Web Developer
6,0,3,7,yes,no,machine learning,game development,poor,excellent,parallel computing,developer,product development,no,Fantasy,Technical,smart worker,yes,no,Web Developer
3,1,3,9,no,no,app development,database security,medium,poor,programming,testing,Cloud Services,no,Horror,Management,smart worker,yes,no,Web Developer
1,1,6,4,yes,yes,information security,web technologies,excellent,medium,data engineering,system developer,SAaS services,yes,Poetry,Management,smart worker,yes,yes,Web Developer
8,5,3,6,no,yes,hadoop,data science,medium,excellent,data engineering,cloud computing,Product based,yes,Prayer books,Technical,hard worker,yes,yes,Web Developer
5,4,8,6,yes,yes,hadoop,database security,excellent,medium,Management,cloud computing,product development,no,Trilogy,Management,smart worker,no,no,Web Developer
6,1,5,2,yes,no,distro making,database security,poor,poor,hacking,cloud computing,Finance,no,Art,Technical,smart worker,yes,yes,Web Developer
1,3,5,1,yes,yes,shell programming,cloud computing,medium,medium,Software Engineering,testing,product development,yes,Self help,Management,hard worker,yes,yes,Web Developer
1,2,1,8,yes,yes,shell programming,testing,medium,excellent,data engineering,security,Testing and Maintainance Services,no,Comics,Technical,smart worker,no,no,Web Developer
2,0,5,8,yes,yes,python,database security,poor,medium,Computer Architecture,Business process analyst,product development,no,Science,Management,hard worker,yes,no,Web Developer
3,5,4,3,no,yes,r programming,hacking,excellent,poor,networks,system developer,Testing and Maintainance Services,no,Science,Technical,smart worker,no,yes,Web Developer
3,3,2,3,no,yes,python,database security,poor,medium,Software Engineering,security,BPA,yes,Horror,Management,smart worker,yes,no,Web Developer
9,6,3,3,yes,yes,information security,hacking,medium,excellent,hacking,security,Service Based,no,Religion-Spirituality,Management,smart worker,yes,no,Web Developer
6,5,1,7,no,yes,full stack,data science,poor,excellent,hacking,developer,Finance,no,Health,Management,smart worker,yes,no,Web Developer
5,5,2,8,yes,yes,shell programming,testing,poor,excellent,Computer Architecture,cloud computing,Product based,no,Encyclopedias,Technical,hard worker,yes,yes,Web Developer
6,4,8,3,no,yes,distro making,cloud computing,medium,poor,programming,testing,BPA,no,Self help,Management,smart worker,no,yes,Web Developer
4,2,7,2,no,no,distro making,game development,excellent,excellent,hacking,system developer,Testing and Maintainance Services,yes,Fantasy,Management,smart worker,yes,yes,Web Developer
3,4,1,8,no,no,full stack,system designing,medium,medium,cloud computing,developer,BPA,yes,Math,Technical,smart worker,yes,yes,Web Developer
3,1,5,6,yes,yes,distro making,data science,excellent,poor,Software Engineering,system developer,Finance,yes,Horror,Technical,smart worker,no,no,Web Developer
4,1,9,4,yes,yes,distro making,system designing,medium,poor,Management,testing,Product based,no,Comics,Management,smart worker,no,no,Web Developer
9,2,2,1,yes,yes,python,cloud computing,poor,poor,IOT,Business process analyst,Cloud Services,no,Fantasy,Technical,hard worker,yes,yes,Web Developer
8,5,1,8,no,yes,distro making,data science,poor,poor,cloud computing,security,SAaS services,yes,Science fiction,Management,smart worker,yes,no,Web Developer
8,3,1,1,yes,yes,distro making,system designing,excellent,medium,parallel computing,developer,Testing and Maintainance Services,yes,Romance,Management,hard worker,yes,no,Web Developer
8,6,8,1,no,yes,python,testing,poor,excellent,Software Engineering,testing,Service Based,yes,Religion-Spirituality,Technical,smart worker,yes,yes,Web Developer
2,5,4,1,no,yes,hadoop,hacking,poor,excellent,hacking,security,Service Based,yes,Prayer books,Technical,hard worker,yes,no,Web Developer
9,0,6,9,no,yes,hadoop,database security,excellent,medium,parallel computing,Business process analyst,Finance,no,Journals,Technical,hard worker,yes,no,Web Developer
3,2,6,6,yes,no,full stack,web technologies,excellent,poor,parallel computing,cloud computing,Cloud Services,no,Fantasy,Technical,hard worker,yes,yes,Web Developer
1,6,1,9,no,no,app development,testing,poor,excellent,Computer Architecture,testing,BPA,yes,Drama,Technical,smart worker,yes,yes,Web Developer
7,4,2,9,yes,no,information security,database security,poor,medium,Management,developer,SAaS services,yes,Guide,Management,smart worker,no,yes,Web Developer
5,5,4,2,no,yes,shell programming,data science,medium,excellent,programming,testing,Product based,yes,Comics,Technical,hard worker,no,yes,Web Developer
4,3,1,2,yes,yes,machine learning,database security,medium,poor,networks,developer,SAaS services,no,Journals,Technical,smart worker,yes,yes,Web Developer
7,3,8,9,yes,no,app development,game development,poor,excellent,Software Engineering,developer,Service Based,no,Trilogy,Management,smart worker,no,no,Web Developer
4,5,8,8,no,no,r programming,testing,poor,poor,parallel computing,system developer,BPA,no,Science fiction,Technical,hard worker,yes,no,Web Developer
8,5,6,9,no,yes,app development,testing,medium,poor,Software Engineering,testing,BPA,no,Horror,Management,hard worker,yes,yes,Web Developer
8,0,3,5,yes,yes,information security,web technologies,medium,excellent,parallel computing,testing,Service Based,yes,History,Technical,hard worker,no,no,Web Developer
4,4,1,5,no,yes,distro making,system designing,poor,poor,data engineering,testing,Sales and Marketing,no,Math,Management,smart worker,yes,no,Web Developer
9,2,8,8,no,no,hadoop,hacking,poor,poor,programming,security,Web Services,no,Prayer books,Technical,hard worker,yes,no,Web Developer
6,5,5,5,yes,no,r programming,game development,medium,poor,hacking,security,Product based,yes,Comics,Management,smart worker,yes,yes,Web Developer
7,3,4,8,no,no,r programming,hacking,poor,poor,Management,Business process analyst,product development,yes,Childrens,Management,hard worker,no,no,Web Developer
3,6,5,6,yes,no,python,system designing,poor,poor,hacking,security,SAaS services,no,Math,Technical,smart worker,yes,yes,Web Developer
9,0,4,7,no,no,full stack,hacking,excellent,poor,programming,system developer,Finance,yes,Fantasy,Technical,smart worker,no,no,Web Developer
1,0,5,5,yes,no,machine learning,hacking,excellent,excellent,Software Engineering,developer,Web Services,no,Encyclopedias,Technical,smart worker,yes,yes,Web Developer
5,0,2,3,yes,no,information security,data science,medium,poor,IOT,system developer,SAaS services,yes,Action and Adventure,Management,smart worker,yes,no,Web Developer
3,6,2,6,no,yes,information security,data science,poor,excellent,IOT,developer,Product based,yes,Encyclopedias,Management,smart worker,no,yes,Web Developer
9,3,7,2,yes,yes,full stack,system designing,medium,poor,cloud computing,developer,product development,yes,Health,Management,hard worker,no,no,Web Developer
7,3,2,7,yes,no,machine learning,game development,poor,poor,Software Engineering,Business process analyst,Product based,no,Guide,Management,smart worker,yes,no,Web Developer
3,1,1,4,no,yes,app development,testing,excellent,excellent,data engineering,Business process analyst,BPA,yes,Math,Technical,smart worker,no,yes,Web Developer
6,2,6,5,no,yes,app development,system designing,excellent,excellent,parallel computing,testing,Testing and Maintainance Services,yes,Art,Management,smart worker,no,yes,Web Developer
3,0,1,4,yes,no,information security,data science,medium,poor,parallel computing,system developer,SAaS services,yes,Comics,Technical,smart worker,no,yes,Web Developer
4,2,6,5,yes,no,machine learning,web technologies,medium,medium,Management,security,Service Based,yes,Romance,Technical,smart worker,yes,yes,Web Developer
5,1,3,1,no,yes,distro making,system designing,medium,medium,networks,Business process analyst,BPA,yes,Biographies,Management,smart worker,no,yes,Web Developer
8,0,5,4,yes,yes,shell programming,cloud computing,poor,poor,Management,security,SAaS services,no,Action and Adventure,Management,hard worker,yes,no,Web Developer
3,0,4,7,yes,yes,hadoop,system designing,excellent,poor,Management,testing,SAaS services,no,History,Technical,smart worker,yes,yes,Web Developer
2,1,1,1,yes,no,shell programming,data science,medium,medium,networks,testing,Finance,no,Science fiction,Technical,smart worker,yes,no,Web Developer
1,3,9,1,yes,yes,machine learning,hacking,medium,poor,networks,developer,BPA,yes,Encyclopedias,Management,hard worker,no,yes,Web Developer
1,0,6,4,no,yes,full stack,web technologies,poor,excellent,Computer Architecture,cloud computing,Testing and Maintainance Services,no,Guide,Technical,hard worker,no,no,Web Developer
3,2,4,8,yes,no,full stack,hacking,excellent,poor,parallel computing,developer,Product based,yes,Biographies,Management,smart worker,no,no,Web Developer
